Player,2015,2016,2017,2018,2019
AP,,,35,,23
Bud,7,15,20,20,18
Cam,11,8,11,28,17
Cody,11,6,7,8,12
Dennis,,,,,21
Ders,13,25,22,30,71
Heck,27,35,,5,33
JA,45,46,51,47,25
Kenny,31,25,23,13,18
Kody,,,,10,17
Murray,15,9,17,12,
Norcott,8,4,4,,
Pudwell,9,17,3,,
Purser,28,31,39,19,28
Steven,,,,12,
Willie,16,15,6,11,4
