Player,2015,2016,2017,2018,2019
AP,,,5,,11
Bud,8,2,3,4,4
Cam,12,10,12,3,12
Cody,4,7,8,2,3
Dennis,,,,,10
Ders,10,9,2,1,1
Heck,7,1,,9,5
JA,1,12,1,5,2
Kenny,6,6,9,11,6
Kody,,,,10,9
Murray,9,5,4,6,
Norcott,2,11,7,,
Pudwell,3,4,6,,
Purser,5,8,11,7,8
Steven,,,,8,
Willie,11,3,10,12,7
